category,subcategory,tags,attribute,attribute_description,tablename,geography,region,vintage,source,vartype,last_updated,notes
housing,inventory,"housing, housing inventory, housing structures",one_u_detached_pct_hu,"Percent of housing units in 1-unit, detached structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",one_u_detached_pct_hu_moe,"Percent of housing units in 1-unit, detached structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",one_u_attached_ct,"Housing units in 1-unit, attached structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",one_u_attached_ct_moe,"Housing units in 1-unit, attached structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",one_u_attached_pct_hu,"Percent of housing units in 1-unit, attached structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",one_u_attached_pct_hu_moe,"Percent of housing units in 1-unit, attached structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",two_u_ct,"Housing units in 2 unit structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",two_u_ct_moe,"Housing units in 2 unit structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",two_u_pct_hu,"Percent of housing units in 2 unit structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",two_u_pct_hu_moe,"Percent of housing units in 2 unit structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",three_or4u_ct,"Housing units in 3 or 4 unit structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",three_or4u_ct_moe,"Housing units in 3 or 4 unit structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",three_or4u_pct_hu,"Percent of housing units in 3 or 4 unit structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",three_or4u_pct_hu_moe,"Percent of housing units in 3 or 4 unit structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",five_to9u_ct,"Housing units in 5 to 9 unit structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",five_to9u_ct_moe,"Housing units in 5 to 9 unit structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",five_to9u_pct_hu,"Percent of housing units in 5 to 9 unit structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",five_to9u_pct_hu_moe,"Percent of housing units in 5 to 9 unit structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",ten_to19u_ct,"Housing units in 10 to 19 unit structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",ten_to19u_ct_moe,"Housing units in 10 to 19 unit structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",ten_to19u_pct_hu,"Percent of housing units in 10 to 19 unit structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",ten_to19u_pct_hu_moe,"Percent of housing units in 10 to 19 unit structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",ge20u_ct,"Housing units in 20 or more unit structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",ge20u_ct_moe,"Housing units in 20 or more unit structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",ge20u_pct_hu,"Percent of housing units in 20 or more unit structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",ge20u_pct_hu_moe,"Percent of housing units in 20 or more unit structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",mobile_home_ct,"Housing units in mobile home structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",mobile_home_ct_moe,"Housing units in mobile home structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",mobile_home_pct_hu,"Percent of housing units in mobile home structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",mobile_home_pct_hu_moe,"Percent of housing units in mobile home structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",boat_rv_van_etc_ct,"Housing units in boat, rv, van, etc. structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",boat_rv_van_etc_ct_moe,"Housing units in boat, rv, van, etc. structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",boat_rv_van_etc_pct_hu,"Percent of housing units in boat, rv, van, etc. structures",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",boat_rv_van_etc_pct_hu_moe,"Percent of housing units in boat, rv, van, etc. structures margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2014or_later_ct,"Housing units in structures built 2014 or later",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2014or_later_ct_moe,"Housing units in structures built 2014 or later margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2014or_later_pct_hu,"Percent of housing units in structures built 2014 or later",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2014or_later_pct_hu_moe,"Percent of housing units in structures built 2014 or later margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2010to2013ct,"Housing units in structures built 2010 to 2013",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2010to2013ct_moe,"Housing units in structures built 2010 to 2013 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2010to2013pct_hu,"Percent of housing units in structures built 2010 to 2013",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2010to2013pct_hu_moe,"Percent of housing units in structures built 2010 to 2013 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2000to2009ct,"Housing units in structures built 2000 to 2009",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2000to2009ct_moe,"Housing units in structures built 2000 to 2009 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2000to2009pct_hu,"Percent of housing units in structures built 2000 to 2009",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built2000to2009pct_hu_moe,"Percent of housing units in structures built 2000 to 2009 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1990to1999ct,"Housing units in structures built 1990 to 1999",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1990to1999ct_moe,"Housing units in structures built 1990 to 1999 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1990to1999pct_hu,"Percent of housing units in structures built 1990 to 1999",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1990to1999pct_hu_moe,"Percent of housing units in structures built 1990 to 1999 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1980to1989ct,"Housing units in structures built 1980 to 1989",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1980to1989ct_moe,"Housing units in structures built 1980 to 1989 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1980to1989pct_hu,"Percent of housing units in structures built 1980 to 1989",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1980to1989pct_hu_moe,"Percent of housing units in structures built 1980 to 1989 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1970to1979ct,"Housing units in structures built 1970 to 1979",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1970to1979ct_moe,"Housing units in structures built 1970 to 1979 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1970to1979pct_hu,"Percent of housing units in structures built 1970 to 1979",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1970to1979pct_hu_moe,"Percent of housing units in structures built 1970 to 1979 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1960to1969ct,"Housing units in structures built 1960 to 1969",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1960to1969ct_moe,"Housing units in structures built 1960 to 1969 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1960to1969pct_hu,"Percent of housing units in structures built 1960 to 1969",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1960to1969pct_hu_moe,"Percent of housing units in structures built 1960 to 1969 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1950to1959ct,"Housing units in structures built 1950 to 1959",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1950to1959ct_moe,"Housing units in structures built 1950 to 1959 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1950to1959pct_hu,"Percent of housing units in structures built 1950 to 1959",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1950to1959pct_hu_moe,"Percent of housing units in structures built 1950 to 1959 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1940to1949ct,"Housing units in structures built 1940 to 1949",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1940to1949ct_moe,"Housing units in structures built 1940 to 1949 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1940to1949pct_hu,"Percent of housing units in structures built 1940 to 1949",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1940to1949pct_hu_moe,"Percent of housing units in structures built 1940 to 1949 margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1939or_earlier_ct,"Housing units in structures built 1939 or earlier",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1939or_earlier_ct_moe,"Housing units in structures built 1939 or earlier margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1939or_earlier_pct_hu,"Percent of housing units in structures built 1939 or earlier",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",built1939or_earlier_pct_hu_moe,"Percent of housing units in structures built 1939 or earlier margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",one_room_ct,"1 room housing units",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",one_room_ct_moe,"1 room housing units margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",one_room_pct_hu,"Percent of housing units that are 1 room",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",one_room_pct_hu_moe,"Percent of housing units that are 1 room margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",two_rooms_ct,"2 rooms housing units",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",two_rooms_ct_moe,"2 rooms housing units margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",two_rooms_pct_hu,"Percent of housing units that are 2 rooms",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",two_rooms_pct_hu_moe,"Percent of housing units that are 2 rooms margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",three_rooms_ct,"3 rooms housing units",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",three_rooms_ct_moe,"3 rooms housing units margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",three_rooms_pct_hu,"Percent of housing units that are 3 rooms",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",three_rooms_pct_hu_moe,"Percent of housing units that are 3 rooms margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",four_rooms_ct,"4 rooms housing units",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",four_rooms_ct_moe,"4 rooms housing units margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",four_rooms_pct_hu,"Percent of housing units that are 4 rooms",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",four_rooms_pct_hu_moe,"Percent of housing units that are 4 rooms margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",five_rooms_ct,"5 rooms housing units",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",five_rooms_ct_moe,"5 rooms housing units margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",five_rooms_pct_hu,"Percent of housing units that are 5 rooms",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",five_rooms_pct_hu_moe,"Percent of housing units that are 5 rooms margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",six_rooms_ct,"6 rooms housing units",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",six_rooms_ct_moe,"6 rooms housing units margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",six_rooms_pct_hu,"Percent of housing units that are 6 rooms",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",six_rooms_pct_hu_moe,"Percent of housing units that are 6 rooms margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",seven_rooms_ct,"7 rooms housing units",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",seven_rooms_ct_moe,"7 rooms housing units margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",seven_rooms_pct_hu,"Percent of housing units that are 7 rooms",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",seven_rooms_pct_hu_moe,"Percent of housing units that are 7 rooms margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",eight_rooms_ct,"8 rooms housing units",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",eight_rooms_ct_moe,"8 rooms housing units margin of error",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables",INT,2021-03-27,"Census variables changed in 2015."
housing,inventory,"housing, housing inventory, housing structures",eight_rooms_pct_hu,"Percent of housing units that are 8 rooms",housing_inventory,tract,"North Carolina","2015 - 2019","Census Bureau American Community Survey 5-Year Data Profile Tables","DECIMAL (4,3)",2021-03-27,"Census variables changed in 2015."
